param_name,param_value,trial,best_fitness,generations_run,converged_at
pop_size,20,0,2.721618813488284,150,74
pop_size,20,1,2.1530272963467016,92,16
pop_size,20,2,2.017001490750351,169,93
pop_size,40,0,2.051177964454353,207,131
pop_size,40,1,2.2939282255568667,219,143
pop_size,40,2,2.4835532661197046,108,32
pop_size,60,0,3.5997691240699057,372,296
pop_size,60,1,2.6049991972561086,130,54
pop_size,60,2,2.256121982204311,95,19
pop_size,80,0,2.0452164178845944,114,38
pop_size,80,1,1.9587929391532042,80,4
pop_size,80,2,2.7408670794646923,224,148
gene_count,3,0,2.4551712492055904,281,205
gene_count,3,1,2.081470373897769,163,87
gene_count,3,2,2.2651705811886025,132,56
gene_count,5,0,2.467039258947578,124,48
gene_count,5,1,2.3109749895051896,124,48
gene_count,5,2,2.1835209019364754,342,266
gene_count,7,0,2.5178961760324796,343,267
gene_count,7,1,2.2729196415623436,211,135
gene_count,7,2,2.7148842141328826,7,3
gene_count,10,0,3.958499381825633,425,349
gene_count,10,1,2.547177288331156,148,72
gene_count,10,2,1.8531863624556026,149,73
point_mutate_rate,0.05,0,3.4926529907119788,337,261
point_mutate_rate,0.05,1,2.2801769552543982,173,97
point_mutate_rate,0.05,2,2.5927700146607338,200,124
point_mutate_rate,0.1,0,2.4919081488577612,107,31
point_mutate_rate,0.1,1,2.7623760342081516,431,355
point_mutate_rate,0.1,2,3.10392830862588,100,24
point_mutate_rate,0.2,0,1.4577252484226844,76,0
point_mutate_rate,0.2,1,2.1661622676627594,221,145
point_mutate_rate,0.2,2,2.1410197726925624,299,223
point_mutate_rate,0.3,0,1.803618657069695,84,8
point_mutate_rate,0.3,1,2.4569398760575716,244,168
point_mutate_rate,0.3,2,1.9270825266437248,76,0
point_mutate_amount,0.05,0,3.4668014420627165,523,447
point_mutate_amount,0.05,1,3.315034426865002,508,432
point_mutate_amount,0.05,2,2.6733132129024835,223,147
point_mutate_amount,0.1,0,3.1525949391757564,510,434
point_mutate_amount,0.1,1,3.0967744658394567,233,157
point_mutate_amount,0.1,2,2.1404644055326996,139,63
point_mutate_amount,0.25,0,2.2573100037004936,246,170
point_mutate_amount,0.25,1,2.4468925035182814,119,43
point_mutate_amount,0.25,2,2.6805970779217825,125,49
point_mutate_amount,0.5,0,3.067291494191564,505,429
point_mutate_amount,0.5,1,2.409593597134565,210,134
point_mutate_amount,0.5,2,2.3037352807192972,151,75
shrink_mutate_rate,0.1,0,1.7587145883067141,87,11
shrink_mutate_rate,0.1,1,2.437735080743808,328,252
shrink_mutate_rate,0.1,2,2.176203630615852,349,273
shrink_mutate_rate,0.15,0,2.6063845394255116,192,116
shrink_mutate_rate,0.15,1,2.3447252618854595,589,513
shrink_mutate_rate,0.15,2,2.5134683405304665,302,226
shrink_mutate_rate,0.25,0,4.013543435273533,407,331
shrink_mutate_rate,0.25,1,3.633156104750386,697,621
shrink_mutate_rate,0.25,2,2.135492586750951,450,374
shrink_mutate_rate,0.35,0,2.135408066351375,204,128
shrink_mutate_rate,0.35,1,2.959678800028869,367,291
shrink_mutate_rate,0.35,2,1.9687575523666603,106,30
grow_mutate_rate,0.05,0,1.8346298144199251,231,155
grow_mutate_rate,0.05,1,2.627520378645464,599,523
grow_mutate_rate,0.05,2,1.9731532929916613,186,110
grow_mutate_rate,0.1,0,2.3894268908224916,126,50
grow_mutate_rate,0.1,1,2.1596668174641955,200,124
grow_mutate_rate,0.1,2,2.3672763004982382,104,28
grow_mutate_rate,0.15,0,2.3183345967252578,571,495
grow_mutate_rate,0.15,1,2.465210797860454,96,20
grow_mutate_rate,0.15,2,2.649790113835424,393,317
grow_mutate_rate,0.25,0,2.3704080421307134,289,213
grow_mutate_rate,0.25,1,2.481361309816205,122,46
grow_mutate_rate,0.25,2,3.039383360093173,189,113
elitism_count,1,0,1.623511766579835,83,7
elitism_count,1,1,2.1622137893143316,151,75
elitism_count,1,2,4.736213826117916,1378,1302
elitism_count,2,0,2.6898934784052617,388,312
elitism_count,2,1,2.2082021961617233,87,11
elitism_count,2,2,2.0547138699815592,122,46
elitism_count,3,0,2.991506690910681,283,207
elitism_count,3,1,2.8580265340264948,149,73
elitism_count,3,2,2.5160530529555354,102,26
elitism_count,5,0,2.6511305800299265,542,466
elitism_count,5,1,4.127195497005609,524,448
elitism_count,5,2,2.869881959320977,244,168
