experiment,scheme,trial,best_fitness,generations_run,converged_at
body_structure,all_cylinder,0,2.495412259895139,351,274
body_structure,all_cylinder,1,2.657215730576053,116,39
body_structure,all_cylinder,2,2.4343283985967243,210,133
body_structure,all_box,0,2.032181707897956,87,10
body_structure,all_box,1,3.5034392916221835,560,483
body_structure,all_box,2,1.8803538620283062,86,9
body_structure,all_sphere,0,2.0883358790967197,169,92
body_structure,all_sphere,1,3.5658413336942614,667,590
body_structure,all_sphere,2,2.2786924145471,150,73
body_structure,box_base_cyl_limbs,0,2.7042036049107634,427,350
body_structure,box_base_cyl_limbs,1,1.846990601541797,79,2
body_structure,box_base_cyl_limbs,2,2.261683585889201,394,317
body_structure,sphere_base_cyl_limbs,0,2.003381315512466,148,71
body_structure,sphere_base_cyl_limbs,1,1.8904569578569197,82,5
body_structure,sphere_base_cyl_limbs,2,2.7377193488621314,817,740
body_structure,cyl_base_box_limbs,0,2.5518974727231525,89,12
body_structure,cyl_base_box_limbs,1,2.3016183837262334,238,161
body_structure,cyl_base_box_limbs,2,3.363053475262886,312,235
